"scope","key","D_m","hc_D","Dr_D","free_area","research_rpms","integrated_rpms","research_rpm_count","integrated_rpm_count","equal","integrated_accepted_trial_count"
"fixed_geometry","1.1|0.20|0.33|0.20","1.1","0.2","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.1|0.20|0.33|0.30","1.1","0.2","0.33","0.3","[30]","[30]","1","1","true","1"
"fixed_geometry","1.1|0.20|0.33|0.40","1.1","0.2","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.1|0.20|0.40|0.20","1.1","0.2","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.20|0.40|0.30","1.1","0.2","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.20|0.40|0.40","1.1","0.2","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.20|0.50|0.20","1.1","0.2","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.20|0.50|0.30","1.1","0.2","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.20|0.50|0.40","1.1","0.2","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.33|0.20","1.1","0.25","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.1|0.25|0.33|0.30","1.1","0.25","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.1|0.25|0.33|0.40","1.1","0.25","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.1|0.25|0.40|0.20","1.1","0.25","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.40|0.30","1.1","0.25","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.40|0.40","1.1","0.25","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.50|0.20","1.1","0.25","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.50|0.30","1.1","0.25","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.25|0.50|0.40","1.1","0.25","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.33|0.20","1.1","0.3","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.1|0.30|0.33|0.30","1.1","0.3","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.1|0.30|0.33|0.40","1.1","0.3","0.33","0.4","[30,35,40]","[30,35,40]","3","3","true","3"
"fixed_geometry","1.1|0.30|0.40|0.20","1.1","0.3","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.40|0.30","1.1","0.3","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.40|0.40","1.1","0.3","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.50|0.20","1.1","0.3","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.50|0.30","1.1","0.3","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.1|0.30|0.50|0.40","1.1","0.3","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.33|0.20","1.2","0.2","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.2|0.20|0.33|0.30","1.2","0.2","0.33","0.3","[30]","[30]","1","1","true","1"
"fixed_geometry","1.2|0.20|0.33|0.40","1.2","0.2","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.2|0.20|0.40|0.20","1.2","0.2","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.40|0.30","1.2","0.2","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.40|0.40","1.2","0.2","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.50|0.20","1.2","0.2","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.50|0.30","1.2","0.2","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.20|0.50|0.40","1.2","0.2","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.33|0.20","1.2","0.25","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.2|0.25|0.33|0.30","1.2","0.25","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.2|0.25|0.33|0.40","1.2","0.25","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.2|0.25|0.40|0.20","1.2","0.25","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.40|0.30","1.2","0.25","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.40|0.40","1.2","0.25","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.50|0.20","1.2","0.25","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.50|0.30","1.2","0.25","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.25|0.50|0.40","1.2","0.25","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.33|0.20","1.2","0.3","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.2|0.30|0.33|0.30","1.2","0.3","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.2|0.30|0.33|0.40","1.2","0.3","0.33","0.4","[30,35,40]","[30,35,40]","3","3","true","3"
"fixed_geometry","1.2|0.30|0.40|0.20","1.2","0.3","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.40|0.30","1.2","0.3","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.40|0.40","1.2","0.3","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.50|0.20","1.2","0.3","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.50|0.30","1.2","0.3","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.2|0.30|0.50|0.40","1.2","0.3","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.33|0.20","1.3","0.2","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.3|0.20|0.33|0.30","1.3","0.2","0.33","0.3","[30]","[30]","1","1","true","1"
"fixed_geometry","1.3|0.20|0.33|0.40","1.3","0.2","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.3|0.20|0.40|0.20","1.3","0.2","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.40|0.30","1.3","0.2","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.40|0.40","1.3","0.2","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.50|0.20","1.3","0.2","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.50|0.30","1.3","0.2","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.20|0.50|0.40","1.3","0.2","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.33|0.20","1.3","0.25","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.3|0.25|0.33|0.30","1.3","0.25","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.3|0.25|0.33|0.40","1.3","0.25","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.3|0.25|0.40|0.20","1.3","0.25","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.40|0.30","1.3","0.25","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.40|0.40","1.3","0.25","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.50|0.20","1.3","0.25","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.50|0.30","1.3","0.25","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.25|0.50|0.40","1.3","0.25","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.33|0.20","1.3","0.3","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.3|0.30|0.33|0.30","1.3","0.3","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.3|0.30|0.33|0.40","1.3","0.3","0.33","0.4","[30,35,40]","[30,35,40]","3","3","true","3"
"fixed_geometry","1.3|0.30|0.40|0.20","1.3","0.3","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.40|0.30","1.3","0.3","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.40|0.40","1.3","0.3","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.50|0.20","1.3","0.3","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.50|0.30","1.3","0.3","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.3|0.30|0.50|0.40","1.3","0.3","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.33|0.20","1.4","0.2","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.4|0.20|0.33|0.30","1.4","0.2","0.33","0.3","[30]","[30]","1","1","true","1"
"fixed_geometry","1.4|0.20|0.33|0.40","1.4","0.2","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.4|0.20|0.40|0.20","1.4","0.2","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.40|0.30","1.4","0.2","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.40|0.40","1.4","0.2","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.50|0.20","1.4","0.2","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.50|0.30","1.4","0.2","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.20|0.50|0.40","1.4","0.2","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.33|0.20","1.4","0.25","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.4|0.25|0.33|0.30","1.4","0.25","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.4|0.25|0.33|0.40","1.4","0.25","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.4|0.25|0.40|0.20","1.4","0.25","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.40|0.30","1.4","0.25","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.40|0.40","1.4","0.25","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.50|0.20","1.4","0.25","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.50|0.30","1.4","0.25","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.25|0.50|0.40","1.4","0.25","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.33|0.20","1.4","0.3","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.4|0.30|0.33|0.30","1.4","0.3","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.4|0.30|0.33|0.40","1.4","0.3","0.33","0.4","[30,35,40]","[30,35,40]","3","3","true","3"
"fixed_geometry","1.4|0.30|0.40|0.20","1.4","0.3","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.40|0.30","1.4","0.3","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.40|0.40","1.4","0.3","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.50|0.20","1.4","0.3","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.50|0.30","1.4","0.3","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.4|0.30|0.50|0.40","1.4","0.3","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.33|0.20","1.5","0.2","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.5|0.20|0.33|0.30","1.5","0.2","0.33","0.3","[30]","[30]","1","1","true","1"
"fixed_geometry","1.5|0.20|0.33|0.40","1.5","0.2","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.5|0.20|0.40|0.20","1.5","0.2","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.40|0.30","1.5","0.2","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.40|0.40","1.5","0.2","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.50|0.20","1.5","0.2","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.50|0.30","1.5","0.2","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.20|0.50|0.40","1.5","0.2","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.33|0.20","1.5","0.25","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.5|0.25|0.33|0.30","1.5","0.25","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.5|0.25|0.33|0.40","1.5","0.25","0.33","0.4","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.5|0.25|0.40|0.20","1.5","0.25","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.40|0.30","1.5","0.25","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.40|0.40","1.5","0.25","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.50|0.20","1.5","0.25","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.50|0.30","1.5","0.25","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.25|0.50|0.40","1.5","0.25","0.5","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.33|0.20","1.5","0.3","0.33","0.2","[30]","[30]","1","1","true","1"
"fixed_geometry","1.5|0.30|0.33|0.30","1.5","0.3","0.33","0.3","[30,35]","[30,35]","2","2","true","2"
"fixed_geometry","1.5|0.30|0.33|0.40","1.5","0.3","0.33","0.4","[30,35,40]","[30,35,40]","3","3","true","3"
"fixed_geometry","1.5|0.30|0.40|0.20","1.5","0.3","0.4","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.40|0.30","1.5","0.3","0.4","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.40|0.40","1.5","0.3","0.4","0.4","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.50|0.20","1.5","0.3","0.5","0.2","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.50|0.30","1.5","0.3","0.5","0.3","[]","[]","0","0","true","0"
"fixed_geometry","1.5|0.30|0.50|0.40","1.5","0.3","0.5","0.4","[]","[]","0","0","true","0"
"diameter_union","0.2","0.2","","","","[]","[]","0","0","true","0"
"diameter_union","0.3","0.3","","","","[30]","[30]","1","1","true","1"
"diameter_union","0.4","0.4","","","","[30]","[30]","1","1","true","5"
"diameter_union","0.5","0.5","","","","[30,35]","[30,35]","2","2","true","10"
"diameter_union","0.6","0.6","","","","[30,35]","[30,35]","2","2","true","11"
"diameter_union","0.7","0.7","","","","[30,35]","[30,35]","2","2","true","12"
"diameter_union","0.8","0.8","","","","[30,35]","[30,35]","2","2","true","14"
"diameter_union","0.9","0.9","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1","1","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1.1","1.1","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1.2","1.2","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1.3","1.3","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1.4","1.4","","","","[30,35,40]","[30,35,40]","3","3","true","15"
"diameter_union","1.5","1.5","","","","[30,35,40]","[30,35,40]","3","3","true","15"
